,project_name,goal,sub_category,main_category,launched,deadline,campaign_length,predicted_bert
2869,Turn my words into music,30000.0,Country & Folk,Music,2012-04-10 04:22:33,2012-05-10 04:22:33,30,Music
2870,The Realm of Gob,10000.0,Video Games,Games,2014-02-11 18:28:32,2014-03-13 17:28:32,29,Games
2871,Disconnected - Web Series,3000.0,Film & Video,Film & Video,2012-10-17 02:15:08,2012-11-16 08:00:00,30,Film & Video
2872,Nova Gam3: The Album,7337.0,Hip-Hop,Music,2012-12-05 08:12:21,2013-02-01 05:59:00,57,Music
2873,Jeff Miracola's Fantasy Art Acrylic Painting Technique Video,8000.0,Painting,Art,2015-08-09 18:59:09,2015-09-08 18:59:09,30,Art
2874,SIGNd- a revolutionary site for new artists to be discovered,200000.0,Music,Music,2016-03-30 02:44:19,2016-05-29 02:44:19,60,Technology
2875,GiftPrompt Mobile App,6000.0,Apps,Technology,2016-03-28 17:25:14,2016-04-27 17:25:14,30,Technology
2876,Exotic Wooden Belaying Pins For Pirate Cosplay,500.0,Crafts,Crafts,2013-04-07 21:32:05,2013-04-27 21:32:05,20,Crafts
2877,Nick Tyson (a fresh start),1500.0,Music,Music,2014-05-23 08:13:17,2014-06-02 08:13:17,10,Music
2878,Pulp Productions Presents: Roomies,2000.0,Webseries,Film & Video,2012-06-21 18:46:56,2012-07-21 18:46:56,30,Theater
2879,Our Dream come true: Marasco's Candies,5000.0,Food,Food,2015-01-04 20:17:06,2015-02-01 20:17:06,28,Food
2880,My Vegan Sweet Tooth -- Bursting at the seams!,10000.0,Food,Food,2012-08-24 02:25:35,2012-10-08 02:25:35,45,Food
2881,Peat Reek - A short Scottish film about whisky smuggling,3300.0,Shorts,Film & Video,2013-08-03 14:44:52,2013-09-02 14:44:52,30,Film & Video
2882,Hot Pants and Helmets: A Modern Roller Derby Story,500.0,Photography,Photography,2012-05-03 01:54:18,2012-05-31 09:00:00,28,Film & Video
2883,Lulu & Kuis: Create your own luxury wool coat,4000.0,Ready-to-wear,Fashion,2015-09-11 20:59:44,2015-09-27 00:00:00,15,Fashion
2884,The vanishing springs of Florida,300.0,Photobooks,Photography,2014-07-18 22:54:07,2014-08-17 22:53:33,29,Photography
2885,Monster Documentary,5000.0,Documentary,Film & Video,2011-11-22 03:43:31,2012-01-21 03:43:31,60,Film & Video
2886,Stone Skull's 28mm Tabletop Gaming Miniature Furniture,3000.0,Tabletop Games,Games,2016-03-02 15:36:35,2016-04-01 15:36:35,30,Games
2887,Bring the Music In: the Summer Januaries 1st Original Album,3500.0,Country & Folk,Music,2013-09-04 23:11:11,2013-10-04 23:11:11,30,Music
2888,"Tuna Knobs, Stick em to your tablet and its a controller.",12500.0,Product Design,Design,2014-07-09 16:55:50,2014-08-08 16:55:50,30,Design
2889,Rivanna River Basin Mural--by artist Kaki Dimock,8000.0,Public Art,Art,2013-07-01 17:54:28,2013-07-27 19:00:00,26,Art
2890,Songs of Petroleum - autobiography of Jan Lundberg,5000.0,Nonfiction,Publishing,2011-06-01 00:50:53,2011-07-01 00:50:53,30,Publishing
2891,Le Cerbère en Vidéoclip!,1000.0,Indie Rock,Music,2015-10-17 01:07:47,2015-11-16 01:07:47,30,Film & Video
2892,DESTINATION: CONCEPT ARTIST -an audio book,1000.0,Conceptual Art,Art,2011-11-18 06:01:12,2011-12-02 05:14:00,13,Publishing
2893,My debut full-length album.,500.0,Indie Rock,Music,2011-05-04 00:49:17,2011-06-03 00:49:17,30,Music
2894,Reactions Through Spaces. An Interaction,2000.0,Dance,Dance,2014-02-05 16:07:39,2014-04-06 16:07:39,60,Art
2895,Japanese Anime Store (Canceled),50000.0,Comic Books,Comics,2016-03-01 00:55:29,2016-03-31 00:55:29,30,Film & Video
2896,Going Green on a Electric Motorcycle,49777.0,Film & Video,Film & Video,2013-02-09 01:08:54,2013-03-11 06:59:00,30,Film & Video
2897,A Taste of Heaven & Hell,15000.0,Nonfiction,Publishing,2013-10-03 02:59:25,2013-11-17 02:59:25,45,Film & Video
2898,E.P release,1000.0,Indie Rock,Music,2014-04-01 09:30:09,2014-05-31 09:30:09,60,Music
2899,Help me make an EP/CD!,450.0,Music,Music,2012-06-21 18:52:28,2012-08-08 05:59:00,47,Music
2900,Twenty Seconds...A True Account of Survival & Hope,12500.0,Nonfiction,Publishing,2015-02-24 17:46:21,2015-03-26 15:08:00,29,Publishing
2901,Mermaid Love,500.0,Fashion,Fashion,2015-05-12 09:20:09,2015-06-11 09:20:09,30,Film & Video
2902,How To Deal with Life Difficulties (Canceled),12500.0,Nonfiction,Publishing,2016-02-05 07:07:52,2016-03-06 07:07:52,30,Publishing
2903,l'église sur l'océan - The church on the ocean,2500.0,Film & Video,Film & Video,2014-05-09 17:00:52,2014-06-08 17:00:52,30,Film & Video
2904,Grinidon: A Fantasy Graphic Novel,7000.0,Graphic Novels,Comics,2015-03-14 05:38:56,2015-04-13 06:38:56,30,Comics
2905,Axel Fowley Music,5000.0,Electronic Music,Music,2015-06-29 11:49:08,2015-07-29 11:49:08,30,Music
2906,Kool Vibe Music Group,3000.0,Hip-Hop,Music,2015-03-26 20:42:25,2015-04-25 21:42:25,30,Music
2907,Nora Evergla Designs,2300.0,Apparel,Fashion,2015-09-09 23:58:46,2015-10-09 23:58:46,30,Fashion
2908,Penn State: We Are...Forever,700.0,Places,Photography,2015-01-02 23:14:14,2015-01-16 23:14:14,14,Film & Video
2909,The Forest or: How I Learned to Love the Pine Beetle,1.0,Film & Video,Film & Video,2015-04-20 17:03:18,2015-04-26 16:37:00,5,Publishing
2910,WIU (World in Universe) (WIU.co),100000.0,Games,Games,2015-03-17 00:36:16,2015-04-14 01:36:16,28,Technology
2911,INCURSION: Faeblade,500.0,Fiction,Publishing,2016-08-23 00:05:21,2016-09-22 00:05:21,30,Games
2912,"""Neak Ta"" - supporting experimental arts and music in Phnom Penh, Cambodia",2500.0,Art,Art,2010-03-12 10:33:48,2010-04-18 01:00:00,36,Music
2913,Raven Bicycle Registry Smartphone Security System,36500.0,Technology,Technology,2013-11-12 08:52:16,2013-12-12 08:52:16,30,Technology
2914,Marcus Lindsey Band For CMA Fest 2016,1500.0,Country & Folk,Music,2016-04-14 20:28:06,2016-05-14 20:28:06,30,Music
2915,InProv  Debut EP/DVD,1200.0,Music,Music,2012-07-07 05:05:41,2012-08-06 05:05:41,30,Music
2916,Help Produce the Brand New ILLUS Album and Comic Book!,7500.0,Hip-Hop,Music,2010-11-09 03:40:33,2011-01-08 03:40:33,60,Music
2917,Help VRTGO Kick-Off with KickStarter!,5000.0,Electronic Music,Music,2015-08-06 02:17:50,2015-09-07 00:56:00,31,Technology
2918,Streamer Room (Canceled),1000.0,Live Games,Games,2014-07-30 01:12:59,2014-08-09 01:12:59,10,Games
2919,Street Name Register (Canceled),4500.0,Technology,Technology,2015-01-22 02:33:01,2015-02-11 02:33:01,20,Technology
2920,A2Z Med Review,1000.0,Film & Video,Film & Video,2015-03-03 03:45:15,2015-05-02 03:45:15,60,Publishing
2921,BeYouNow,9000.0,Tabletop Games,Games,2015-02-24 11:29:57,2015-03-26 10:29:57,29,Games
2922,Autism: Hearts of Angels...,2850.0,People,Photography,2015-11-03 17:17:03,2015-12-01 17:17:03,28,Film & Video
2923,'Little' - Short Film,1650.0,Shorts,Film & Video,2014-03-10 18:07:24,2014-03-24 18:07:24,14,Film & Video
2924,Reason To Bake Gluten Free Cookies,20000.0,Small Batch,Food,2016-09-14 22:27:01,2016-10-14 22:27:01,30,Food
2925,The BB-MT (big bite-multi tool),1300.0,Product Design,Design,2015-09-22 02:55:26,2015-10-17 02:55:26,25,Design
2926,"Honor Finnegan's ""The Tiny Life""",3500.0,Country & Folk,Music,2011-11-29 00:36:01,2011-12-29 00:36:01,30,Music
2927,"ibou pocket, the handy pouch for your handbag.",5000.0,Fashion,Fashion,2014-03-05 11:21:41,2014-04-04 11:21:41,30,Design
2928,Destruction Of A King's new EP + UK/EU Tour.,1000.0,Rock,Music,2011-10-29 22:30:39,2011-11-16 05:59:00,17,Music
2929,Vegan Cookies w/ QR Information / Promo / Fundraising Codes,5000.0,Vegan,Food,2015-07-13 17:53:48,2015-08-12 17:53:48,30,Food
2930,Casa de los Amigos - the book,11500.0,Nonfiction,Publishing,2016-03-24 06:18:32,2016-04-29 03:33:00,35,Publishing
2931,Tipsy Tarts cake bakery (cake+liquor=delicious),3000.0,Food,Food,2014-09-22 19:36:28,2014-10-22 19:36:28,30,Food
2932,Dungeon Forge - In my pocket,1500.0,Tabletop Games,Games,2015-08-11 12:48:38,2015-09-10 12:48:38,30,Games
2933,Lunchbar with cocktailworkshops and tastings,3500.0,Drinks,Food,2014-12-11 11:45:58,2015-01-05 11:45:58,25,Food
2934,Immortal Prosperity: First Dragon & Phoenix Coloring Book,3888.0,Art Books,Publishing,2016-10-27 00:55:24,2016-11-26 00:55:24,30,Publishing
2935,Roll out zebra crossing,1500.0,Technology,Technology,2015-07-11 08:28:53,2015-08-10 08:28:53,30,Art
2936,Adventures with Alwyn: Artistic Autistic Self-Expression,5000.0,Art,Art,2013-07-07 07:29:19,2013-08-06 07:29:19,30,Art
2937,ELECTRA,52000.0,Drama,Film & Video,2015-02-21 22:56:20,2015-03-23 21:56:20,29,Film & Video
2938,The Lion In Winter,500.0,Theater,Theater,2012-03-05 23:28:42,2012-04-05 00:28:42,30,Film & Video
2939,Stoofer - Meme Social Network,20250.0,Web,Technology,2016-10-17 17:20:26,2016-11-16 17:20:26,30,Technology
2940,"Hustling Series, Season Two",12000.0,Webseries,Film & Video,2012-05-10 03:33:31,2012-06-10 04:00:00,31,Film & Video
2941,Nothing Personal - The Expansions!,25000.0,Tabletop Games,Games,2014-05-01 17:35:37,2014-05-31 21:00:00,30,Games
2942,The Car Project (Canceled),20000.0,Crafts,Crafts,2015-09-18 20:36:12,2015-10-18 20:36:12,30,Film & Video
2943,Wax Fingers Makes an Album,1800.0,Rock,Music,2010-05-27 22:18:44,2010-07-12 05:59:00,45,Music
2944,Project Veri Gaming,20000.0,Video Games,Games,2016-07-31 00:16:17,2016-08-30 00:16:17,30,Games
2945,Living Furniture | The table that grows your food,20000.0,Product Design,Design,2014-06-30 17:59:59,2014-07-31 01:00:00,30,Design
2946,Fighting Lies,5500.0,Fiction,Publishing,2014-12-23 20:33:19,2015-01-22 20:33:19,30,Film & Video
2947,LOST UTOPIAS: THE BOOK,12700.0,Art,Art,2016-04-18 16:59:13,2016-05-18 05:59:00,29,Publishing
2948,Before the Court,5000.0,Shorts,Film & Video,2015-07-09 18:53:43,2015-08-03 05:59:00,24,Film & Video
2949,Natural Makes Scents,5000.0,DIY,Crafts,2015-03-14 18:38:55,2015-05-13 19:38:55,60,Crafts
2950,"American Aquarium - The Making of ""Burn.Flicker.Die.""",20000.0,Music,Music,2011-11-12 16:29:49,2012-01-11 16:29:49,60,Film & Video
2951,"SLIM42 : Ultra Thin Watch, Pure Italian Design (Suspended)",20000.0,Product Design,Design,2015-12-07 14:14:44,2016-01-16 14:14:44,40,Design
2952,VORB: iOS Physics-Based Racing Platformer,8000.0,Video Games,Games,2011-01-16 08:25:37,2011-02-22 08:25:37,37,Games
2953,Tailwind - Affordable Smart Home Automation Made Simple,125000.0,Gadgets,Technology,2015-12-07 18:52:11,2016-01-06 18:52:11,30,Technology
2954,Gathering of Guardians: Board Game,25000.0,Tabletop Games,Games,2014-08-12 19:34:10,2014-09-14 22:00:00,33,Games
2955,Creative Story Stones,6000.0,Tabletop Games,Games,2015-08-06 23:31:15,2015-09-01 23:31:15,26,Crafts
2956,ILLUS: Origin of the Mask: San Diego Comic Con Exclusive CD,1000.0,Hip-Hop,Music,2013-06-14 20:57:04,2013-06-24 20:57:04,10,Music
2957,Bring Chess To Kids,3000.0,Tabletop Games,Games,2009-10-12 22:42:45,2010-01-10 19:50:00,89,Games
2958,3Doodler: The World's First 3D Printing Pen,30000.0,Hardware,Technology,2013-02-19 06:08:59,2013-03-25 05:08:59,33,Technology
2959,God Hates Astronauts: The Completely Complete Edition,15000.0,Comics,Comics,2013-02-18 17:31:17,2013-03-20 16:31:17,29,Comics
2960,Keep DVQ Alive!,350.0,Periodicals,Publishing,2011-10-11 00:40:22,2011-11-10 00:40:22,30,Music
2961,The Origins Of Pencil Man,500.0,Comics,Comics,2013-02-03 14:03:19,2013-03-05 14:03:19,30,Publishing
2962,Personalized Christmas Ornaments That Light Up,250.0,Ceramics,Art,2016-11-15 16:32:10,2016-11-29 16:32:10,14,Crafts
2963,House Kombucha: Bringin' It Fresh to YOU!,10000.0,Food,Food,2013-08-28 19:46:46,2013-10-27 18:46:46,59,Food
2964,Family-operated Premier French Bakery & Cafe in SoCal,50000.0,Food,Food,2015-08-07 23:44:40,2015-10-06 23:44:40,60,Food
2965,"Recycled wood functional art furniture, all natural colors",10000.0,Art,Art,2014-11-04 03:04:39,2014-12-04 03:04:39,30,Design
2966,That Golden Pup: 2017 Calendar,3000.0,Animals,Photography,2016-10-02 18:03:54,2016-10-18 06:00:00,15,Publishing
2967,Launch the Peregrine,1000.0,Sculpture,Art,2012-08-23 20:02:52,2012-09-22 20:02:52,30,Film & Video
2968,Street pet fashion - Danie's Fashion,5000.0,Pet Fashion,Fashion,2016-01-19 17:41:09,2016-02-18 17:41:09,30,Fashion
2969,Catalpa: Edinburgh Fringe 2015,7200.0,Theater,Theater,2014-12-02 16:56:58,2014-12-23 08:59:00,20,Theater
2970,Gallery Kaiela,15000.0,Art,Art,2015-10-29 05:02:31,2015-11-30 07:00:00,32,Art
2971,THE UNSTAINABLE® WORKWEAR COLLECTION,40000.0,Apparel,Fashion,2016-05-03 15:29:39,2016-06-03 15:29:39,31,Fashion
2972,How Will We Cross the Seas? - A 16mm Short Film,1300.0,Shorts,Film & Video,2011-10-28 20:21:24,2011-11-14 18:00:00,16,Film & Video
2973,KINGS,500.0,Theater,Theater,2013-03-09 13:26:14,2013-03-30 05:00:00,20,Film & Video
2974,Red Eyes Playing Cards,10000.0,Playing Cards,Games,2016-09-05 19:03:28,2016-10-05 19:03:28,30,Games
2975,The Golden Turd,40000.0,Video Games,Games,2016-11-15 23:12:24,2016-12-15 23:12:24,30,Film & Video
2976,Around The Urinal: A Political Satire,10000.0,Comics,Comics,2012-03-02 23:18:03,2012-04-01 23:18:03,30,Film & Video
2977,Creative Braining Mobile App for Android (already on iPhone),2000.0,Games,Games,2012-07-10 17:16:14,2012-08-09 17:16:14,30,Technology
2978,Through the eyes of a veteran,8000.0,Illustration,Art,2016-10-08 03:18:02,2016-12-07 03:18:02,60,Photography
2979,Second City Coffee,3000.0,Drinks,Food,2016-01-26 11:09:09,2016-02-07 22:00:00,12,Food
2980,Mule Light V2 - The Only Flashlight You Will Ever Need,150000.0,Technology,Technology,2016-03-15 17:50:28,2016-04-17 18:50:28,33,Technology
2981,Marks,1500.0,Narrative Film,Film & Video,2014-08-01 22:24:11,2014-09-10 22:24:11,40,Film & Video
2982,"MYTHOS: NECRONOMICON, Bicycle® Playing Cards",15000.0,Tabletop Games,Games,2012-09-22 00:01:56,2012-11-01 04:59:00,40,Games
2983,Speedmaster Racing Seat with Motion Technology (Canceled),130000.0,Product Design,Design,2016-03-30 08:54:15,2016-05-04 08:54:15,35,Design
2984,"""Behind the scenes of famous art"" - Wall Calendar 2015",6000.0,Illustration,Art,2014-10-29 11:35:24,2014-11-28 12:35:24,30,Art
2985,Lovely Math - A Book of Fractals,2500.0,Digital Art,Art,2010-01-13 17:34:40,2010-04-10 22:00:00,87,Publishing
2986,"conversations, the book, screenplay, film",5500.0,Anthologies,Publishing,2015-01-14 17:56:57,2015-03-15 16:56:57,59,Publishing
2987,Scribble: A film made by first-graders.,1200.0,Animation,Film & Video,2016-01-12 15:00:25,2016-02-10 02:00:00,28,Film & Video
2988,The World's Best Running Shorts,10000.0,Apparel,Fashion,2016-07-19 16:55:18,2016-09-17 16:55:18,60,Fashion
2989,Sexy Suitcase,2000.0,Sound,Technology,2015-05-09 13:29:06,2015-06-08 13:29:06,30,Fashion
2990,Weathered Notebooks,2600.0,Product Design,Design,2016-02-04 20:28:55,2016-03-05 05:00:00,29,Crafts
2991,MY LIFE: Chasing the Dream.  (Canceled),22000.0,Documentary,Film & Video,2010-11-02 20:01:29,2010-12-02 21:01:29,30,Film & Video
2992,Altar to Our Lady of the Shining Silver Sun,3600.0,Digital Art,Art,2012-03-11 17:22:46,2012-04-09 04:00:00,28,Art
2993,Dekka Clothing Company,10000.0,Apparel,Fashion,2015-10-30 04:24:46,2015-12-29 05:24:46,60,Fashion
2994,POPE Watch Co.,50000.0,Design,Design,2013-05-22 22:02:46,2013-06-29 05:00:00,37,Fashion
2995,NON COMPOS MENTIS (aka Jerry),1000.0,Narrative Film,Film & Video,2011-10-19 04:12:53,2011-12-18 04:12:53,60,Film & Video
2996,The Humans Are Coming - Short Film,700.0,Shorts,Film & Video,2012-07-03 02:14:13,2012-08-17 02:14:13,45,Film & Video
2997,U-DICE : An universal electronic dice for most dice games,8000.0,Tabletop Games,Games,2015-04-03 18:30:51,2015-04-23 05:00:00,19,Games
2998,Drive with Lynk,750000.0,Technology,Technology,2013-03-26 03:27:22,2013-06-02 09:49:33,68,Film & Video
2999,Stingrays Poetry Collection (Feel The Sting),700.0,Poetry,Publishing,2016-11-11 12:55:19,2016-12-14 06:59:00,32,Publishing
3000,"""creature"" an original dance opera for the digital age",10000.0,Dance,Dance,2013-11-05 18:31:37,2013-12-14 05:59:00,38,Dance
3001,Cannibal Unicorn,50000.0,Apparel,Fashion,2015-11-24 21:45:29,2015-12-24 21:45:29,30,Games
3002,Project Joytality,800.0,Music,Music,2015-03-24 18:49:05,2015-04-13 19:49:05,20,Music
3003,Linotype: The Film - Final Push,20000.0,Documentary,Film & Video,2011-08-11 04:35:06,2011-09-10 04:35:06,30,Film & Video
3004,Carin Wear: No more leaks - control your bladder again,15000.0,Wearables,Technology,2016-05-23 15:02:53,2016-06-29 15:02:53,37,Technology
3005,I Mons,2000.0,Children's Books,Publishing,2016-01-17 20:23:03,2016-02-16 20:23:03,30,Film & Video
3006,Farming Food Justice: Cheerful Chicken Farm,42500.0,Farms,Food,2014-12-24 18:39:20,2015-02-01 05:59:00,38,Food
3007,:60 Poetry Collection,1500.0,Poetry,Publishing,2013-07-02 02:31:54,2013-08-01 02:31:54,30,Publishing
3008,One Love/Screw U: Yard Girl Jewelry's First Collection,4000.0,Fashion,Fashion,2013-06-10 21:37:35,2013-07-20 21:37:35,40,Fashion
3009,Video Coverage of Essen International Game Fair & Ludo Fact,6500.0,Tabletop Games,Games,2011-09-06 17:35:14,2011-10-06 17:35:14,30,Games
3010,"Trackable, Handcrafted Leather Products",50000.0,Product Design,Design,2016-08-16 13:55:51,2016-09-25 13:55:51,40,Crafts
3011,Cup-O-Ghetti to Go!,10000.0,Food Trucks,Food,2014-07-22 01:13:21,2014-08-21 01:13:21,30,Food
3012,Socialize,60000.0,Web,Technology,2015-11-10 17:08:05,2015-12-20 17:08:05,40,Technology
3013,Donate $1 for Hip Hop,1168.0,Television,Film & Video,2014-08-19 07:41:23,2014-09-18 07:41:23,30,Music
3014,Over the Rainbow at Taonga Glass Studios,33333.0,Art,Art,2013-12-11 08:04:59,2014-01-13 08:04:59,33,Art
3015,Creating a promo for the Horror Film 'TRUST',15000.0,Narrative Film,Film & Video,2010-07-20 05:18:02,2010-08-30 20:34:00,41,Film & Video
3016,Dedication Damage (Feature Film),7900.0,Drama,Film & Video,2015-04-21 17:32:56,2015-05-21 17:32:56,30,Film & Video
3017,Scuttle: Handmade Cuteness,2500.0,Product Design,Design,2010-06-17 03:25:17,2010-07-28 18:00:00,41,Fashion
3018,How to Lose a Race for Congress,10000.0,Nonfiction,Publishing,2012-08-07 00:51:47,2012-09-06 00:51:47,30,Publishing
3019,WRIST MEMO,79000.0,Product Design,Design,2014-06-13 14:57:08,2014-07-13 14:57:08,30,Technology
3020,Tattered: a story of love and homelessness,3500.0,Shorts,Film & Video,2013-12-17 20:59:48,2014-01-11 05:59:00,24,Film & Video
3021,Bobby's Biggest Bubble: A really BIG tale!,5500.0,Children's Books,Publishing,2012-05-02 23:40:47,2012-06-01 23:40:47,30,Publishing
3022,It's Different Every Day Calendar,5000.0,Calendars,Publishing,2014-10-20 17:42:46,2014-11-20 08:32:00,30,Photography
3023,"""a collaboration of strangers, part IIthe west coast""",3000.0,Public Art,Art,2016-06-01 20:26:42,2016-07-01 20:26:42,30,Music
3024,Kim Boekbinder presents: NOISEWITCH in San Francisco,1000.0,Music,Music,2016-02-18 21:53:27,2016-03-04 21:53:27,15,Music
3025,Corvallis Imagination Music and Art Festival 2014,2000.0,Music,Music,2014-07-10 02:22:56,2014-08-14 02:00:00,34,Art
3026,"90 days to Create an Album, Perform it Live & Film it all!",5000.0,Electronic Music,Music,2013-08-19 21:40:02,2013-09-18 21:40:02,30,Music
3027,UNIVERSAL PHONE LEASH (Canceled),10000.0,Hardware,Technology,2016-03-23 09:17:25,2016-05-22 10:17:25,60,Design
3028,Izcalli Youth Leadership Camp,2500.0,Art,Art,2015-04-16 04:40:04,2015-05-16 04:40:04,30,Art
3029,Mayan Empire inspired Dice,3000.0,Tabletop Games,Games,2012-02-01 22:04:40,2012-03-02 22:04:40,30,Games
3030,The Chocolate Lab - Hand-Crafted Southern Artisan Candy Bars,9750.0,Food,Food,2012-09-14 16:45:04,2012-10-17 03:00:00,32,Food
3031,A.F.C FALL/WINTER 2011 LAUNCH (Canceled),3500.0,Fashion,Fashion,2011-08-04 23:53:51,2011-09-05 00:00:00,31,Fashion
3032,"Lisa Redfern New CD ""A Living Prayer""",3000.0,Country & Folk,Music,2013-03-31 19:45:22,2013-04-30 19:45:22,30,Music
3033,"""25 years of the Mafia Game"" Workshop",10000.0,Games,Games,2012-09-28 20:38:13,2012-10-29 17:00:00,30,Games
3034,Desoto Jones needs your help to release their second album!,5000.0,Rock,Music,2012-01-24 17:43:44,2012-02-23 17:43:44,30,Music
3035,Making My Way To Japan <3 (Canceled),8000.0,Places,Photography,2016-03-25 17:21:56,2016-04-24 18:21:56,30,Photography
3036,INFESTED EARTH Issue 1,2500.0,Comic Books,Comics,2015-08-25 01:00:16,2015-09-29 01:00:16,35,Comics
3037,Bachelorette: A Card Game for BFFs,2000.0,Playing Cards,Games,2016-10-11 23:10:35,2016-11-18 09:10:00,37,Games
3038,The Deadlys: Elizabeth Figurine (Canceled),5000.0,Sculpture,Art,2011-06-05 18:45:50,2011-07-05 18:45:50,30,Comics
3039,Maqoo ||  Underwear Revolution,10000.0,Wearables,Technology,2015-07-27 15:01:16,2015-08-27 15:01:16,31,Fashion
3040,The Wild Image Project Shows (Canceled),5000.0,Photography,Photography,2009-06-03 22:47:17,2009-07-15 05:59:00,41,Photography
3041,Swing King,5000.0,Product Design,Design,2014-11-11 01:37:21,2014-12-11 01:37:21,30,Design
3042,A DAY OF HAVOC,5000.0,Film & Video,Film & Video,2012-12-27 20:22:50,2013-01-26 20:22:50,30,Film & Video
3043,Create & Orchestrate,20000.0,Academic,Publishing,2015-06-23 16:58:18,2015-07-23 16:58:18,30,Music
3044,A Burger,20.0,Food,Food,2014-07-09 05:52:21,2014-08-08 05:52:21,30,Food
3045,Jacqueline Rose's studio project,3000.0,Country & Folk,Music,2012-09-20 19:23:38,2012-10-20 19:23:38,30,Music
3046,Life Defies All Odds,25000.0,Documentary,Film & Video,2012-12-06 05:12:14,2013-01-20 05:12:14,45,Film & Video
3047,BellRoig Duet,21000.0,Music,Music,2015-01-13 23:50:15,2015-02-12 23:50:15,30,Music
3048,Bully United Clothing,5000.0,Fashion,Fashion,2015-05-15 00:40:13,2015-05-25 00:40:13,10,Fashion
3049,OIFIII vet seeks help to follow dream! (Canceled),700.0,Nature,Photography,2014-07-23 21:22:35,2014-08-22 21:22:35,30,Music
3050,Fund an Award Winning Filmmaker and See the film at a festival near you,1000.0,Shorts,Film & Video,2009-08-30 23:45:47,2009-11-28 22:26:00,89,Film & Video
3051,Einsten Tananta: El Sonido de Tu Cruz,7000.0,Faith,Music,2015-03-09 20:05:58,2015-04-12 01:00:00,33,Film & Video
3052,Devour Me. Debut Album.,9500.0,Rock,Music,2013-03-05 00:46:58,2013-04-04 00:46:58,30,Music
3053,The Broken Glass Behind the China Cabinet,3000.0,Publishing,Publishing,2012-07-30 20:57:58,2012-09-28 20:57:58,60,Film & Video
3054,Starting up my own little art business,1300.0,Painting,Art,2016-08-19 03:30:58,2016-09-18 03:30:58,30,Art
3055,Belladonna Springs,30000.0,Film & Video,Film & Video,2011-02-20 19:35:31,2011-04-22 19:35:31,61,Film & Video
3056,Coffee Shea Whip Funding,1400.0,DIY,Crafts,2016-06-09 21:29:14,2016-07-09 21:29:14,30,Fashion
3057,Remembering Nancy a short Sci-Fi Film,300.0,Science Fiction,Film & Video,2015-02-12 19:49:44,2015-03-14 18:49:44,29,Film & Video
3058,The Recollectors: Remembering Parents Lost to AIDS,10000.0,Nonfiction,Publishing,2014-04-02 04:35:55,2014-04-17 02:00:00,14,Film & Video
3059,Hodgello's Blood,25000.0,Graphic Novels,Comics,2016-05-02 00:57:13,2016-06-01 00:57:13,30,Film & Video
3060,The Gem Collector Wii U,650.0,Video Games,Games,2016-02-23 04:03:21,2016-03-24 03:03:21,29,Games
3061,Johns herbs and spices,10000.0,Small Batch,Food,2014-09-27 06:32:37,2014-10-27 05:32:37,29,Food
3062,Devil's Panties Devil Girl Plushie!,15000.0,Comics,Comics,2013-08-13 21:59:07,2013-09-18 04:00:00,35,Crafts
3063,"Zen Spinning Top - Precise, Durable, Timeless",5000.0,Product Design,Design,2016-05-19 23:03:00,2016-06-28 23:03:00,40,Design
3064,SURVIVE! ZOMBIELAND,10000.0,Games,Games,2016-11-05 21:39:14,2016-12-10 22:39:14,35,Games
3065,MommySwap.com (A Unique Childcare Solution),10000.0,Web,Technology,2015-03-04 16:50:56,2015-03-30 16:50:56,26,Technology
3066,PITZ QUATTRONE records original songs!,4500.0,Music,Music,2013-02-24 13:48:40,2013-03-26 12:48:40,29,Music
3067,Yargis - Indie Space Game of the Year!,10000.0,Video Games,Games,2013-07-08 05:07:36,2013-08-07 05:07:36,30,Games
3068,Pink Gorilla presents LEVEL UP: Pixel Pub & Gaming Lounge,75000.0,Video Games,Games,2012-08-04 01:38:38,2012-09-03 01:38:38,30,Games
3069,Point B,3500.0,Narrative Film,Film & Video,2013-07-13 21:24:56,2013-08-12 21:24:56,30,Film & Video
3070,Table of convenience for all man kind to use (Canceled),300000.0,Graphic Design,Design,2016-06-18 00:55:44,2016-07-18 00:55:44,30,Design
3071,The Faetell Dress Shirt,5000.0,Fashion,Fashion,2012-06-07 18:42:23,2012-07-07 18:42:23,30,Fashion
3072,The Faux Montreux on vinyl,500.0,Indie Rock,Music,2015-09-28 16:57:24,2015-11-27 16:57:24,60,Music
3073,KIN COFFEE,14000.0,Food,Food,2016-03-22 19:46:08,2016-04-21 20:46:08,30,Food
3074,"""Istanbul'um"" - Meine Herzensangelegenheit (Canceled)",3000.0,Photobooks,Photography,2015-11-24 11:55:04,2015-12-14 11:55:04,20,Publishing
3075,Daymak Photon Scooter,30000.0,Hardware,Technology,2015-06-18 18:10:03,2015-07-27 18:10:03,39,Technology
3076,The perspective of the little nation,10000.0,World Music,Music,2016-05-02 19:12:03,2016-06-01 19:12:03,30,Publishing
3077,"""Not Just Plain..."" Vanilla Extracts & Foodstuffs Startup",3500.0,Small Batch,Food,2014-06-07 06:00:02,2014-07-12 05:59:00,34,Food
3078,Personal Handyman: Mobile on the go home repair (Canceled),4500.0,Apps,Technology,2015-05-07 11:14:47,2015-06-06 11:14:47,30,Technology
3080,Share A Sip (Canceled),100000.0,Drinks,Food,2015-08-13 17:00:36,2015-09-12 17:00:36,30,Food
